epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,121.6,0.88682,1.49988,0.96427,0.97168,0,0.95321,0.94771,0.95528,0.80005,0.95321,0.94771,0.95528,0.63558,0.76385,1.37057,0.6167,0.87679,0,0.000264085,0.000264085,0.000264085
79,122.851,0.84948,1.49816,1.01873,0.9829,0,0.93014,0.95664,0.94195,0.79294,0.93014,0.95664,0.94195,0.62141,0.75412,1.35629,0.62233,0.87706,0,0.000253086,0.000253086,0.000253086
80,123.889,0.77794,1.29974,0.92928,0.9525,0,0.93014,0.95664,0.94195,0.79294,0.93014,0.95664,0.94195,0.62141,0.75412,1.35629,0.62233,0.87706,0,0.000242087,0.000242087,0.000242087
81,124.846,0.83727,1.33443,0.93532,0.98546,0,0.95866,0.96,0.9553,0.80366,0.95866,0.96,0.9553,0.64259,0.75613,1.34388,0.61758,0.88611,0,0.000231088,0.000231088,0.000231088
82,126.752,0.81977,1.36042,0.96307,0.94321,0,0.95866,0.96,0.9553,0.80366,0.95866,0.96,0.9553,0.64259,0.75613,1.34388,0.61758,0.88611,0,0.000220089,0.000220089,0.000220089
83,127.972,0.85742,1.35108,0.93233,0.96046,0,0.95866,0.96,0.9553,0.80366,0.95866,0.96,0.9553,0.64259,0.75613,1.34388,0.61758,0.88611,0,0.00020909,0.00020909,0.00020909
84,129.311,0.91026,1.33124,0.87785,1.03749,0,0.95034,0.96,0.9553,0.8054,0.95034,0.96,0.9553,0.64972,0.75564,1.32044,0.61183,0.88754,0,0.000198091,0.000198091,0.000198091
85,130.537,0.81738,1.20194,0.89996,0.95073,0,0.95034,0.96,0.9553,0.8054,0.95034,0.96,0.9553,0.64972,0.75564,1.32044,0.61183,0.88754,0,0.000187092,0.000187092,0.000187092
86,131.77,0.79266,1.27915,0.92356,0.9349,0,0.95034,0.96,0.9553,0.8054,0.95034,0.96,0.9553,0.64972,0.75564,1.32044,0.61183,0.88754,0,0.000176094,0.000176094,0.000176094
87,133.091,0.81054,1.27752,0.8696,0.942,0,0.95288,0.96,0.95531,0.80541,0.95288,0.96,0.95531,0.65236,0.75476,1.29583,0.6149,0.88555,0,0.000165095,0.000165095,0.000165095
88,134.407,0.80383,1.22614,0.90938,0.95128,0,0.95288,0.96,0.95531,0.80541,0.95288,0.96,0.95531,0.65236,0.75476,1.29583,0.6149,0.88555,0,0.000154096,0.000154096,0.000154096
89,135.918,0.8095,1.26035,0.86353,0.9916,0,0.94543,0.96,0.95531,0.7925,0.94543,0.96,0.95531,0.65497,0.75388,1.28914,0.60333,0.88074,0,0.000143097,0.000143097,0.000143097
90,137.194,0.7394,1.29161,0.88811,0.92544,0,0.94543,0.96,0.95531,0.7925,0.94543,0.96,0.95531,0.65497,0.75388,1.28914,0.60333,0.88074,0,0.000132098,0.000132098,0.000132098
91,141.358,0.77899,1.21945,0.76049,0.94667,0,0.94543,0.96,0.95531,0.7925,0.94543,0.96,0.95531,0.65497,0.75388,1.28914,0.60333,0.88074,0,0.000121099,0.000121099,0.000121099
92,142.734,0.72731,1.2841,0.77887,0.94059,0,0.94192,0.96,0.95532,0.78238,0.94192,0.96,0.95532,0.65021,0.75069,1.28424,0.59675,0.87755,0,0.0001101,0.0001101,0.0001101
93,143.99,0.69837,1.14697,0.75561,0.92831,0,0.94192,0.96,0.95532,0.78238,0.94192,0.96,0.95532,0.65021,0.75069,1.28424,0.59675,0.87755,0,9.91012e-05,9.91012e-05,9.91012e-05
94,145.202,0.69058,1.17784,0.71656,0.91996,0,0.94192,0.96,0.95532,0.78238,0.94192,0.96,0.95532,0.65021,0.75069,1.28424,0.59675,0.87755,0,8.81023e-05,8.81023e-05,8.81023e-05
95,146.594,0.71032,1.1487,0.72076,0.96621,0,0.91323,0.96,0.94197,0.77742,0.91323,0.96,0.9353,0.65156,0.75254,1.30177,0.58738,0.88081,0,7.71034e-05,7.71034e-05,7.71034e-05
96,147.898,0.7439,1.18817,0.78528,0.94806,0,0.91323,0.96,0.94197,0.77742,0.91323,0.96,0.9353,0.65156,0.75254,1.30177,0.58738,0.88081,0,6.61045e-05,6.61045e-05,6.61045e-05
97,149.265,0.78245,1.19332,0.74441,0.90578,0,0.9154,0.96,0.94195,0.7792,0.9154,0.96,0.93529,0.65155,0.75246,1.31913,0.58294,0.87872,0,5.51056e-05,5.51056e-05,5.51056e-05
98,150.513,0.71045,1.14481,0.74405,0.94792,0,0.9154,0.96,0.94195,0.7792,0.9154,0.96,0.93529,0.65155,0.75246,1.31913,0.58294,0.87872,0,4.41067e-05,4.41067e-05,4.41067e-05
99,151.878,0.69464,1.15949,0.73369,0.90653,0,0.9154,0.96,0.94195,0.7792,0.9154,0.96,0.93529,0.65155,0.75246,1.31913,0.58294,0.87872,0,3.31078e-05,3.31078e-05,3.31078e-05
100,153.931,0.75732,1.19938,0.78598,0.94566,0,0.91362,0.96,0.94195,0.7701,0.91362,0.96,0.93528,0.65154,0.75726,1.32566,0.57669,0.88197,0,2.21089e-05,2.21089e-05,2.21089e-05
